"materialid","nombre"
"2180022","CCF8x25x25x25x8x1,5_HB_S235JR 6000"
"2189965","EXPMS20X10H1,5X1,5_HB 1000X6600"
"2189967","EXPMS30X13H1,5X1,5_HB 1000X2000"
"2189968","EXPMS50X22H3X2_HB 1000X7333"
"2189969","EXPMS60X25H2,5X1,5_HB 1000X10000"
"2189980","EXPMS60X25H2,5X1,5_HB 1000X2000"
"2159429","FL100x10_HB_S275JR 6100"
"2159437","FL100x12_HB_S275JR 6100"
"2159443","FL100x15_HB_S275JR 6100"
"2159449","FL100x20_HB_S275JR 6100"
"2159485","FL100x6_HB_S275JR 6100"
"2159491","FL100x8_HB_S275JR 6100"
"2159557","FL120x10_HB_S275JR 6100"
"2159564","FL120x12_HB_S275JR 6100"
"2159571","FL120x15_HB_S275JR 6100"
"2159577","FL120x20_HB_S275JR 6100"
"2159605","FL120x6_HB_S275JR 6100"
"2159611","FL120x8_HB_S275JR 6100"
"2159632","FL130x10_HB_S275JR 6100"
"2159693","FL140x10_HB_S275JR 6100"
"2159706","FL140x15_HB_S275JR 6100"
"2159746","FL140x8_HB_S275JR 6100"
"2159760","FL14x4_HB_S275JR 6100"
"2159767","FL150x10_HB_S275JR 6100"
"2159773","FL150x12_HB_S275JR 6100"
"2159779","FL150x15_HB_S275JR 6100"
"2159822","FL150x8_HB_S275JR 6100"
"2159836","FL16x4_HB_S275JR 6100"
"2159930","FL20x10_HB_S275JR 6100"
"2159963","FL20x3_HB_S275JR 6100"
"2159973","FL20x4_HB_S275JR 6100"
"2159990","FL20x6_HB_S275JR 6100"
"2159997","FL20x8_HB_S275JR 6100"
"2160032","FL25x4_HB_S275JR 6100"
"2160041","FL25x5_HB_S275JR 6100"
"2160062","FL30x10_HB_S275JR 6100"
"2160100","FL30x4_HB_S275JR 6100"
"2160120","FL30x6_HB_S275JR 6100"
"2160128","FL30x8_HB_S275JR 6100"
"2160136","FL35x10_HB_S275JR 6100"
"2160179","FL35x6_HB_S275JR 6100"
"2160187","FL35x8_HB_S275JR 6100"
"2160194","FL40x10_HB_S275JR 6100"
"2160202","FL40x12_HB_S275JR 6100"
"2160208","FL40x15_HB_S275JR 6100"
"2160214","FL40x20_HB_S275JR 6100"
"2160234","FL40x30_HB_S275JR 6100"
"2160241","FL40x4_HB_S275JR 6100"
"2160256","FL40x6_HB_S275JR 6100"
"2160264","FL40x8_HB_S275JR 6100"
"2001203","FL50x10_HB_S275JR"
"2160341","FL50x10_HB_S275JR 6100"
"2160349","FL50x12_HB_S275JR 6100"
"2160356","FL50x15_HB_S275JR 6100"
"2160362","FL50x20_HB_S275JR 6100"
"2160398","FL50x5_HB_S275JR 6100"
"2160405","FL50x6_HB_S275JR 6100"
"2160412","FL50x8_HB_S275JR 6100"
"2160419","FL60x10_HB_S275JR 6100"
"2160427","FL60x12_HB_S275JR 6100"
"2160433","FL60x15_HB_S275JR 6100"
"2160439","FL60x20_HB_S275JR 6100"
"2160446","FL60x25_HB_S275JR 6100"
"2160473","FL60x5_HB_S275JR 6100"
"2160488","FL60x8_HB_S275JR 6100"
"2160496","FL70x10_HB_S275JR 6100"
"2160502","FL70x12_HB_S275JR 6100"
"2160508","FL70x15_HB_S275JR 6100"
"2160515","FL70x20_HB_S275JR 6100"
"2160550","FL70x6_HB_S275JR 6100"
"2160557","FL70x8_HB_S275JR 6100"
"2160567","FL80x10_HB_S275JR 6100"
"2160573","FL80x12_HB_S275JR 6100"
"2160579","FL80x15_HB_S275JR 6100"
"2160586","FL80x20_HB_S275JR 6100"
"2160618","FL80x6_HB_S275JR 6100"
"2160624","FL80x8_HB_S275JR 6100"
"2180493","FLOOR_COLAB60_0,8_GAL 828x6000"
"2160699","FW160x10_HB_S275JR 6100"
"2160755","FW180x10_HB_S275JR 6100"
"2160769","FW180x15_HB_S275JR 6100"
"2160812","FW180x8_HB_S275JR 6100"
"2160820","FW200x10_HB_S275JR 6100"
"2160827","FW200x12_HB_S275JR 6100"
"2160834","FW200x15_HB_S275JR 6100"
"2160842","FW200x20_HB_S275JR 6100"
